# Muv pLya L_Lya
-2.200000000000000000e+01 1.475539281506923568e-42 0.000000000000000000e+00
-2.200000000000000000e+01 8.376915260367342208e-44 2.787818832319787294e+40
-2.200000000000000000e+01 8.376901220920432228e-44 2.790387948210432960e+40
-2.200000000000000000e+01 8.376887168512884174e-44 2.792959431664554705e+40
-2.200000000000000000e+01 8.376873103228524551e-44 2.795533284871731408e+40
-2.200000000000000000e+01 8.376859024899879571e-44 2.798109510015985727e+40
-2.200000000000000000e+01 8.376844933694551464e-44 2.800688109281337903e+40
-2.200000000000000000e+01 8.376830829445075404e-44 2.803269084851813495e+40
-2.200000000000000000e+01 8.376816712235280884e-44 2.805852438928104313e+40
-2.200000000000000000e+01 8.376802582065229636e-44 2.808438173694233016e+40
-2.200000000000000000e+01 8.376788438851226584e-44 2.811026291345336157e+40
-2.200000000000000000e+01 8.376774282593330475e-44 2.813616794076552227e+40
-2.200000000000000000e+01 8.376760113291615983e-44 2.816209684083016330e+40
-2.200000000000000000e+01 8.376745930946141856e-44 2.818804963576538040e+40
-2.200000000000000000e+01 8.376731735556985755e-44 2.821402634746697207e+40
-2.200000000000000000e+01 8.376717527124195474e-44 2.824002699799744283e+40
-2.200000000000000000e+01 8.376703305564089876e-44 2.826605160947489325e+40
-2.200000000000000000e+01 8.376689070876723726e-44 2.829210020396182304e+40
-2.200000000000000000e+01 8.376674823145930497e-44 2.831817280352075604e+40
-2.200000000000000000e+01 8.376660562204249346e-44 2.834426943032536476e+40
-2.200000000000000000e+01 8.376646288219285491e-44 2.837039010643813920e+40
-2.200000000000000000e+01 8.376632001023562157e-44 2.839653485414391018e+40
-2.200000000000000000e+01 8.376617700700910827e-44 2.842270369550516769e+40
-2.200000000000000000e+01 8.376603387251413148e-44 2.844889665275117066e+40
-2.200000000000000000e+01 8.376589060591357118e-44 2.847511374816670637e+40
-2.200000000000000000e+01 8.376574720720817414e-44 2.850135500398102889e+40
-2.200000000000000000e+01 8.376560367639857758e-44 2.852762044242335844e+40
-2.200000000000000000e+01 8.376546001348554819e-44 2.855391008577849682e+40
-2.200000000000000000e+01 8.376531621846974311e-44 2.858022395638683707e+40
