# Muv pLya L_Lya
-1.950000000000000000e+01 3.994588198830083894e-43 3.151155741090246524e+39
-1.950000000000000000e+01 3.994584935332749684e-43 3.154059690292963737e+39
-1.950000000000000000e+01 3.994581668882091507e-43 3.156966315628712728e+39
-1.950000000000000000e+01 3.994578399398223769e-43 3.159875619570494519e+39
-1.950000000000000000e+01 3.994575126921101214e-43 3.162787604580196477e+39
-1.950000000000000000e+01 3.994571851370842232e-43 3.165702273130822042e+39
-1.950000000000000000e+01 3.994568572867285570e-43 3.168619627695372235e+39
-1.950000000000000000e+01 3.994565291290606021e-43 3.171539670752407928e+39
-1.950000000000000000e+01 3.994562006720701128e-43 3.174462404774930747e+39
-1.950000000000000000e+01 3.994558719077684501e-43 3.177387832247056577e+39
-1.950000000000000000e+01 3.994555428441458462e-43 3.180315955641790673e+39
-1.950000000000000000e+01 3.994552134772084195e-43 3.183246777454361365e+39
-1.950000000000000000e+01 3.994548838029618904e-43 3.186180300168887562e+39
-1.950000000000000000e+01 3.994545538293972079e-43 3.189116526269484545e+39
-1.950000000000000000e+01 3.994542235485250162e-43 3.192055458251386085e+39
-1.950000000000000000e+01 3.994538929643409489e-43 3.194997098609821120e+39
-1.950000000000000000e+01 3.994535620728511247e-43 3.197941449840024026e+39
-1.950000000000000000e+01 3.994532308780510182e-43 3.200888514431666306e+39
-1.950000000000000000e+01 3.994528993799415054e-43 3.203838294896652821e+39
-1.950000000000000000e+01 3.994525675705337881e-43 3.206790793735771751e+39
-1.950000000000000000e+01 3.994522354618124577e-43 3.209746013449811884e+39
-1.950000000000000000e+01 3.994519030417947548e-43 3.212703956545121250e+39
-1.950000000000000000e+01 3.994515703184708319e-43 3.215664625539158513e+39
-1.950000000000000000e+01 3.994512372838521296e-43 3.218628022932713065e+39
-1.950000000000000000e+01 3.994509039459282428e-43 3.221594151254360852e+39
-1.950000000000000000e+01 3.994505703007056884e-43 3.224563013010446278e+39
-1.950000000000000000e+01 3.994502363441901866e-43 3.227534610718432238e+39
-1.950000000000000000e+01 3.994499020843722086e-43 3.230508946906892867e+39
-1.950000000000000000e+01 3.994495675132633542e-43 3.233486024098847281e+39
-1.950000000000000000e+01 3.994492326348587794e-43 3.236465844811754750e+39
-1.950000000000000000e+01 3.994488974451651603e-43 3.239448411585306084e+39
-1.950000000000000000e+01 3.994485619481769360e-43 3.242433726942519798e+39
-1.950000000000000000e+01 3.994482261438954605e-43 3.245421793417528059e+39
-1.950000000000000000e+01 3.994478900243327321e-43 3.248412613550020470e+39
-1.950000000000000000e+01 3.994475536014722270e-43 3.251406189874130409e+39
-1.950000000000000000e+01 3.994472168633322214e-43 3.254402524929547477e+39
-1.950000000000000000e+01 3.994468798179015137e-43 3.257401621255961878e+39
-1.950000000000000000e+01 3.994465424571928188e-43 3.260403481404178080e+39
-1.950000000000000000e+01 3.994462047891954130e-43 3.263408107919443114e+39
-1.950000000000000000e+01 3.994458668099153354e-43 3.266415503347005223e+39
-1.950000000000000000e+01 3.994455285153595807e-43 3.269425670243225096e+39
-1.950000000000000000e+01 3.994451899135179030e-43 3.272438611158908405e+39
-1.950000000000000000e+01 3.994448509964009465e-43 3.275454328650416444e+39
-1.950000000000000000e+01 3.994445117680052211e-43 3.278472825279668543e+39
-1.950000000000000000e+01 3.994441722243366862e-43 3.281494103608584634e+39
-1.950000000000000000e+01 3.994438323693909756e-43 3.284518166193525406e+39
-1.950000000000000000e+01 3.994434922031680096e-43 3.287545015607525052e+39
-1.950000000000000000e+01 3.994431517216747033e-43 3.290574654412502901e+39
-1.950000000000000000e+01 3.994428109249120126e-43 3.293607085187050578e+39
-1.950000000000000000e+01 3.994424698128805747e-43 3.296642310498644845e+39
-1.950000000000000000e+01 3.994421283895752269e-43 3.299680332925875513e+39
-1.950000000000000000e+01 3.994417866470086047e-43 3.302721155041777380e+39
-1.950000000000000000e+01 3.994414445931699842e-43 3.305764779424941467e+39
-1.950000000000000000e+01 3.994411022240658028e-43 3.308811208670631089e+39
-1.950000000000000000e+01 3.994407595357023383e-43 3.311860445346321800e+39
-1.950000000000000000e+01 3.994404165320749855e-43 3.314912492052835557e+39
-1.950000000000000000e+01 3.994400732131844614e-43 3.317967351374318394e+39
-1.950000000000000000e+01 3.994397295790317218e-43 3.321025025900479824e+39
-1.950000000000000000e+01 3.994393856256229649e-43 3.324085518226579535e+39
-1.950000000000000000e+01 3.994390413569535059e-43 3.327148830958995710e+39
-1.950000000000000000e+01 3.994386967690301804e-43 3.330214966681878613e+39
-1.950000000000000000e+01 3.994383518658474273e-43 3.333283928007161439e+39
-1.950000000000000000e+01 3.994380066434120820e-43 3.336355717530108715e+39
-1.950000000000000000e+01 3.994376611017253395e-43 3.339430337868211066e+39
-1.950000000000000000e+01 3.994373152407875183e-43 3.342507791622291055e+39
-1.950000000000000000e+01 3.994369690605995743e-43 3.345588081404281272e+39
-1.950000000000000000e+01 3.994366225611621446e-43 3.348671209826118539e+39
-1.950000000000000000e+01 3.994362757424764242e-43 3.351757179510850915e+39
-1.950000000000000000e+01 3.994359286045431300e-43 3.354845993075972652e+39
-1.950000000000000000e+01 3.994355811473630584e-43 3.357937653133417551e+39
-1.950000000000000000e+01 3.994352333709369263e-43 3.361032162311792915e+39
-1.950000000000000000e+01 3.994348852712714100e-43 3.364129523239704839e+39
-1.950000000000000000e+01 3.994345368523618246e-43 3.367229738540204406e+39
-1.950000000000000000e+01 3.994341881102145277e-43 3.370332810841897104e+39
-1.950000000000000000e+01 3.994338390448299175e-43 3.373438742790061327e+39
-1.950000000000000000e+01 3.994334896602035482e-43 3.376547537002192535e+39
-1.950000000000000000e+01 3.994331399523422553e-43 3.379659196134681567e+39
-1.950000000000000000e+01 3.994327899212462778e-43 3.382773722810578294e+39
-1.950000000000000000e+01 3.994324395709112494e-43 3.385891119686275368e+39
-1.950000000000000000e+01 3.994320888933493277e-43 3.389011389395939337e+39
